id,egcs,ercs,erAtt
2023,Bangladesh,Name - TVoice Telecom Limited,83.0
2024,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,100.0
2025,Bangladesh,Name - TVoice Telecom Limited,83.0
2026,Turkey,Name - GLM TELECOM S.r.l.,83.0
2027,India,Name JUPHOON (HK) LIMITED,82.0
2028,Bangladesh,Orange Business Services Softtop,82.0
2029,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,89.0
2030,New Zealand,NAME ICON GLOBAL SERVICES LTD,88.0
2031,Indonesia,NAME - BHARTI AIRTEL,82.0
2032,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,94.0
2033,India,Name JUPHOON (HK) LIMITED,82.0
2034,Laos,Name - HKBN,83.0
2035,Sri Lanka,Telebiz International (Labuan) Corporation,82.0
2036,Sri Lanka,Telebiz International (Labuan) Corporation,82.0
2037,Nepal,Name - Vodafone Idea Limited,82.0
2038,Bangladesh,Name - TVoice Telecom Limited,82.0
2039,Nepal,Name - Vodafone Idea Limited,82.0
2040,India,Name JUPHOON (HK) LIMITED,82.0
2041,India,Name JUPHOON (HK) LIMITED,82.0
2042,Laos,HKBN ENTERPRISE SOLUTIONS LIMITED,82.0
2043,Tanzania,Novatel,81.0
2044,Bangladesh,Orange Business Services Softtop,81.0
2045,Bangladesh,Alfacall Limited Ajoxi,86.0
2046,Malaysia,Name - Telecom Italia Sparkle,81.0
2047,South Korea,Green Packet Global Pte Ltd Techopen,140.0
2048,Sri Lanka,HKBN ENTERPRISE SOLUTIONS LIMITED,92.0
2049,Brazil,SVG-techopen,81.0
2050,India,Name JUPHOON (HK) LIMITED,81.0
2051,Nepal,Name - Vodafone Idea Limited,81.0
2052,Nepal,Name - Vodafone Idea Limited,81.0
2053,Nepal,Name - Vodafone Idea Limited,81.0
2054,India,Name JUPHOON (HK) LIMITED,81.0
2055,Indonesia,NAME - BHARTI AIRTEL,81.0
2056,Colombia,RTSgenix group limited Twiching,81.0
2057,India,Name JUPHOON (HK) LIMITED,81.0
2058,Sri Lanka,Telebiz International (Labuan) Corporation,81.0
2059,Nepal,Name - Vodafone Idea Limited,81.0
2060,Bangladesh,Name - TVoice Telecom Limited,81.0
2061,United Kingdom,ZAFTA LINKNET LTD - Ajoxi,82.0
2062,Tanzania,Termsat - Meratalk LLC NFS,81.0
2063,Bangladesh,QGC - Ajoxi,81.0
2064,Laos,HKBN ENTERPRISE SOLUTIONS LIMITED,81.0
2065,Bangladesh,Name - TVoice Telecom Limited,81.0
2066,India,Name - GREEN PACKET GLOBAL PTE LTD,81.0
2067,Bangladesh,Orange Business Services Softtop,81.0
2068,Bangladesh,Name - TVoice Telecom Limited,81.0
